,Cidade,UF,Código,Latitude,Longitude,Altitude,geometry,Dis_1,Viz_1,Dis_2,Viz_2,Dis_3,Viz_3,Dis_4,Viz_4,Dis_5,Viz_5,Dis_6,Viz_6,Dis_7,Viz_7,Dis_8,Viz_8,Dis_9,Viz_9,Dis_10,Viz_10
299,POSSE,GO,A017,-14.08916666,-46.36638888,834,POINT (-46.36638888 -14.08916666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
300,PEIXE,TO,A018,-12.01666666,-48.55,242,POINT (-48.55 -12.01666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
301,CARAVELAS,BA,A405,-17.73333333,-39.26666666,2.88,POINT (-39.26666666 -17.73333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
302,CAMBUCI,RJ,A604,-21.56666666,-41.95,35,POINT (-41.95 -21.56666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
303,JUINA,MT,A920,-11.36694443,-58.73305554,220,POINT (-58.73305554 -11.36694443),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
304,MEDICILANDIA,PA,A209,-3.51083333,-52.96361111,251,POINT (-52.96361111 -3.51083333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
305,BAGE,RS,A827,-31.34777777,-54.01333333,230,POINT (-54.01333333 -31.34777777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
306,BURITIS,MG,A544,-15.52416666,-46.43555555,894,POINT (-46.43555555 -15.52416666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
307,ALTO ARAGUAIA,MT,A909,-17.33944444,-53.22416666,753,POINT (-53.22416666 -17.33944444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
308,BARBACENA,MG,A502,-21.22888888,-43.76694443,1155,POINT (-43.76694443 -21.22888888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
309,URUSSANGA,SC,A814,-28.53249999,-49.31555555,48,POINT (-49.31555555 -28.53249999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
310,CONDE,BA,A431,-11.8,-37.59972221,31.9,POINT (-37.59972221 -11.8),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
311,ARIRANHA,SP,A736,-21.13305554,-48.84027777,525,POINT (-48.84027777 -21.13305554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
312,PORTO MURTINHO,MS,A723,-21.70583333,-57.88666666,85,POINT (-57.88666666 -21.70583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
313,ITACOATIARA,AM,A121,-3.13305554,-58.48277777,74,POINT (-58.48277777 -3.13305554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
314,PALMARES,PE,A357,-8.66638888,-35.56805554,180,POINT (-35.56805554 -8.66638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
315,ITAPOA,SC,A851,-26.0811111,-48.64166666,2,POINT (-48.64166666 -26.0811111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
316,ALFREDO CHAVES,ES,A615,-20.63638888,-40.74138888,35,POINT (-40.74138888 -20.63638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
317,CORURIPE,AL,A355,-10.14527777,-36.28638888,74,POINT (-36.28638888 -10.14527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
318,RIO BRANCO,AC,A104,-9.95777777,-68.165,220,POINT (-68.165 -9.95777777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
319,JOAO PINHEIRO,MG,A553,-17.78472221,-46.11916666,877,POINT (-46.11916666 -17.78472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
320,SAO LUIS,MA,A203,-2.52694443,-44.21305555,56,POINT (-44.21305555 -2.52694443),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
321,VALENCA DO PIAUI,PI,A363,-6.39916666,-41.73999999,301,POINT (-41.73999999 -6.39916666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
322,MARIANOPOLIS DO TO,TO,A041,-9.57666666,-49.72333332,203,POINT (-49.72333332 -9.57666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
323,COMODORO,MT,A913,-13.70861111,-59.76277777,591,POINT (-59.76277777 -13.70861111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
324,NOVA UBIRATA,MT,A929,-13.68638888,-54.95611111,518,POINT (-54.95611111 -13.68638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
325,BRASILIA,DF,A001,-15.78944444,-47.92583332,1159.54,POINT (-47.92583332 -15.78944444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
326,CALDAS,MG,A530,-21.91805554,-46.38305554,1150,POINT (-46.38305554 -21.91805554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
327,GURUPI,TO,A019,-11.74583333,-49.04972221,287,POINT (-49.04972221 -11.74583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
328,CARLINDA,MT,A926,-10.00527777,-55.79055555,306,POINT (-55.79055555 -10.00527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
329,SOROCABA,SP,A713,-23.35,-47.66666666,609,POINT (-47.66666666 -23.35),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
330,ALEGRE,ES,A617,-20.75055555,-41.48888888,138,POINT (-41.48888888 -20.75055555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
331,CAMPO NOVO DOS PARECIS,MT,A905,-13.78333333,-57.83333333,570,POINT (-57.83333333 -13.78333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
332,FORMOSO DO ARAGUAIA,TO,A039,-11.98722221,-49.60833333,220,POINT (-49.60833333 -11.98722221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
333,ITABAIANINHA,SE,A417,-11.27249999,-37.79472221,208,POINT (-37.79472221 -11.27249999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
334,FREDERICO WESTPHALEN,RS,A854,-27.39555555,-53.41277777,490,POINT (-53.41277777 -27.39555555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
335,PORTO SEGURO,BA,A427,-16.38916666,-39.18249999,85,POINT (-39.18249999 -16.38916666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
336,PRES. KENNEDY,ES,A622,-21.10111111,-41.03888888,80,POINT (-41.03888888 -21.10111111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
337,SAO BORJA,RS,A830,-28.64944444,-56.01555555,83,POINT (-56.01555555 -28.64944444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
338,PIRIPIRI,PI,A335,-4.26388888,-41.77805554,161.2,POINT (-41.77805554 -4.26388888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
339,ITAJAI,SC,A868,-26.95083333,-48.76194444,18,POINT (-48.76194444 -26.95083333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
340,PARANAIBA,MS,A710,-19.69527777,-51.18138888,424,POINT (-51.18138888 -19.69527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
341,PATOS,PB,A321,-7.07972221,-37.27249999,249,POINT (-37.27249999 -7.07972221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
342,NOVA TEBAS,PR,A822,-24.43722221,-51.96305555,654,POINT (-51.96305555 -24.43722221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
343,ERECHIM,RS,A828,-27.66027777,-52.30638888,765,POINT (-52.30638888 -27.66027777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
344,ALVORADA DO GURGUEIA,PI,A336,-8.44305555,-43.86472222,270,POINT (-43.86472222 -8.44305555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
345,SACRAMENTO,MG,A525,-19.87527777,-47.43416666,912,POINT (-47.43416666 -19.87527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
346,INACIO MARTINS,PR,A823,-25.56583333,-51.08944444,1260,POINT (-51.08944444 -25.56583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
347,JARDIM,MS,A758,-21.47833332,-56.13694444,249,POINT (-56.13694444 -21.47833332),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
348,PRADOPOLIS,SP,A747,-21.33833333,-48.11388888,544,POINT (-48.11388888 -21.33833333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
349,MACAU,RN,A317,-5.15111111,-36.57305554,32,POINT (-36.57305554 -5.15111111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
350,MANICORE,AM,A133,-5.81055555,-61.29194444,71,POINT (-61.29194444 -5.81055555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
351,AGUA CLARA,MS,A756,-20.44444444,-52.87555554,338,POINT (-52.87555554 -20.44444444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
352,SAO JOAO DEL REI,MG,A514,-21.22638888,-44.97944443,991,POINT (-44.97944443 -21.22638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
353,SAO TOME,RJ,A620,-22.04166666,-41.05194444,8,POINT (-41.05194444 -22.04166666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
354,AGUAS VERMELHAS,MG,A549,-15.75222222,-41.45833333,740,POINT (-41.45833333 -15.75222222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
355,ITAITUBA,PA,A231,-4.27638888,-55.99305555,13,POINT (-55.99305555 -4.27638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
356,REMANSO,BA,A423,-9.60277777,-42.10277777,401,POINT (-42.10277777 -9.60277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
357,TANGARA DA SERRA,MT,A902,-14.65,-57.41666666,321.5,POINT (-57.41666666 -14.65),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
358,TIMOTEO,MG,A511,-19.5736111,-42.62222221,333,POINT (-42.62222221 -19.5736111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
359,VILA MILITAR,RJ,A621,-22.86083333,-43.41111111,45,POINT (-43.41111111 -22.86083333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
360,CAMAQUA,RS,A838,-30.81055555,-51.83472221,90.66,POINT (-51.83472221 -30.81055555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
361,CHAPADINHA,MA,A206,-3.74277777,-43.35194444,91,POINT (-43.35194444 -3.74277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
362,BATAGUASSU,MS,A759,-21.75138888,-52.47055554,387,POINT (-52.47055554 -21.75138888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
363,FLORESTA,PE,A351,-8.5936111,-38.58388888,332,POINT (-38.58388888 -8.5936111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
364,CAMPOS,RJ,A607,-21.71666666,-41.35,25,POINT (-41.35 -21.71666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
365,RIO PARDO DE MINAS,MG,A551,-15.72277777,-42.43527777,950,POINT (-42.43527777 -15.72277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
366,MORRINHOS,GO,A003,-17.71666667,-49.1,771.42,POINT (-49.1 -17.71666667),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
367,COXIM,MS,A720,-18.51222222,-54.73583333,252,POINT (-54.73583333 -18.51222222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
368,CASSILANDIA,MS,A742,-19.12249999,-51.72083332,516,POINT (-51.72083332 -19.12249999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
369,CASTELO DO PIAUI,PI,A361,-5.34916666,-41.51222222,286,POINT (-41.51222222 -5.34916666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
370,ALTO TAQUARI,MT,A934,-17.81555555,-53.28749999,875,POINT (-53.28749999 -17.81555555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
371,COARI,AM,A117,-4.09749999,-63.14527777,53,POINT (-63.14527777 -4.09749999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
372,PARAGOMINAS,PA,A212,-3.01027777,-47.34305555,101,POINT (-47.34305555 -3.01027777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
373,SANTIAGO,RS,A833,-29.19138888,-54.88555555,394,POINT (-54.88555555 -29.19138888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
374,RANCHARIA,SP,A718,-22.37249999,-50.97416666,398,POINT (-50.97416666 -22.37249999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
375,IVINHEMA,MS,A709,-22.30666666,-53.82722221,373.8,POINT (-53.82722221 -22.30666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
376,VARGINHA,MG,A515,-21.56638888,-45.40416666,955,POINT (-45.40416666 -21.56638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
377,OURICURI,PE,A366,-7.88472221,-40.10111111,464,POINT (-40.10111111 -7.88472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
378,QUARAI,RS,A831,-30.3686111,-56.43722221,124,POINT (-56.43722221 -30.3686111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
379,PIRES DO RIO,GO,A033,-17.30416666,-48.28416666,752,POINT (-48.28416666 -17.30416666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
380,DIONISIO CERQUEIRA,SC,A848,-26.28638888,-53.63277777,810,POINT (-53.63277777 -26.28638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
381,BARUERI,SP,A755,-23.52333332,-46.86916666,791,POINT (-46.86916666 -23.52333332),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
382,TRES LAGOAS,MS,A704,-20.78999999,-51.71222222,313,POINT (-51.71222222 -20.78999999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
383,MAL. CANDIDO RONDON,PR,A820,-24.53583333,-54.01972221,392,POINT (-54.01972221 -24.53583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
384,CACOAL,RO,A939,-11.44583333,-61.43416666,210,POINT (-61.43416666 -11.44583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
385,BOA VISTA,RR,A135,2.81694443,-60.69083333,94,POINT (-60.69083333 2.81694443),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
386,MONTE ALEGRE DE GOIAS,GO,A032,-13.24805555,-46.88972221,1253,POINT (-46.88972221 -13.24805555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
387,SERRA DOS AIMORES,MG,A522,-17.7986111,-40.24972221,208,POINT (-40.24972221 -17.7986111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
388,MANACAPURU,AM,A119,-3.29472221,-60.62833332,55,POINT (-60.62833332 -3.29472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
389,BACABAL,MA,A220,-4.24305555,-44.79499999,28,POINT (-44.79499999 -4.24305555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
390,ITUPORANGA,SC,A863,-27.41833332,-49.64666666,484,POINT (-49.64666666 -27.41833332),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
391,PARATI,RJ,A619,-23.22333332,-44.72666666,5,POINT (-44.72666666 -23.22333332),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
392,CAMPINA GRANDE,PB,A313,-7.24249999,-35.88888888,547.56,POINT (-35.88888888 -7.24249999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
393,MATEIROS,TO,A040,-10.42999999,-45.91999999,798,POINT (-45.91999999 -10.42999999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
394,AVARE,SP,A725,-23.09972221,-48.94555555,775,POINT (-48.94555555 -23.09972221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
395,GUANHAES,MG,A533,-18.78666666,-42.94305555,860,POINT (-42.94305555 -18.78666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
396,CRUZ ALTA,RS,A853,-28.60361111,-53.6736111,432,POINT (-53.6736111 -28.60361111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
397,MONTEIRO,PB,A334,-7.89138888,-37.11527777,603.66,POINT (-37.11527777 -7.89138888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
398,CHAPADA GAUCHA,MG,A548,-15.31,-45.61666666,880,POINT (-45.61666666 -15.31),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
399,PICO DO COUTO,RJ,A610,-22.48166666,-43.29138888,1777,POINT (-43.29138888 -22.48166666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
400,IGUATU,CE,A319,-6.39666666,-39.27027777,233,POINT (-39.27027777 -6.39666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
401,PARANAPOEMA,PR,A850,-22.49166666,-52.13444444,311,POINT (-52.13444444 -22.49166666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
402,LABREA,AM,A111,-7.43527777,-64.7886111,64,POINT (-64.7886111 -7.43527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
403,PACAJA,PA,A210,-3.8436111,-50.63805555,108,POINT (-50.63805555 -3.8436111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
404,ICARAIMA,PR,A824,-23.39027777,-53.63472221,385,POINT (-53.63472221 -23.39027777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
405,BARRETOS,SP,A748,-20.55888888,-48.54472221,533,POINT (-48.54472221 -20.55888888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
406,JAGUARIBE,CE,A358,-5.90527777,-38.62777777,184,POINT (-38.62777777 -5.90527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
407,CRATEUS,CE,A342,-5.1861111,-40.66999999,291,POINT (-40.66999999 -5.1861111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
408,SIDROLANDIA,MS,A754,-20.98166666,-54.97194443,464,POINT (-54.97194443 -20.98166666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
409,SAO JOSE DOS AUSENTES,RS,A829,-28.75138888,-50.05833333,1244,POINT (-50.05833333 -28.75138888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
410,GUARANTA DO NORTE,MT,A906,-9.95,-54.88333333,320,POINT (-54.88333333 -9.95),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
411,BURITICUPU,MA,A238,-4.32055554,-46.44972221,175,POINT (-46.44972221 -4.32055554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
412,PREGUICAS,MA,A218,-2.59249999,-42.70722222,.1,POINT (-42.70722222 -2.59249999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
413,ARRAIAL DO CABO,RJ,A606,-22.98333333,-42.01666666,4,POINT (-42.01666666 -22.98333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
414,PETROLINA,PE,A307,-9.38805555,-40.48944444,370.46,POINT (-40.48944444 -9.38805555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
415,OURINHOS,SP,A716,-22.9486111,-49.89416666,448,POINT (-49.89416666 -22.9486111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
416,SOURE,PA,A227,-.81111111,-48.51583333,11,POINT (-48.51583333 -0.81111111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
417,CLEVELANDIA,PR,A876,-26.41722221,-52.34888888,980,POINT (-52.34888888 -26.41722221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
418,SAO PEDRO DO PIAUI,PI,A362,-5.91111111,-42.7186111,287,POINT (-42.7186111 -5.91111111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
419,INDAIAL,SC,A817,-26.91361111,-49.26749999,86.13,POINT (-49.26749999 -26.91361111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
420,SALVADOR,BA,A401,-13.01666666,-38.51666666,51.41,POINT (-38.51666666 -13.01666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
421,CAMPOS LINDOS,TO,A043,-8.15472222,-46.63916666,425,POINT (-46.63916666 -8.15472222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
422,BARRA,BA,A429,-11.08472221,-43.13916666,403,POINT (-43.13916666 -11.08472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
423,GAUCHA DO NORTE,MT,A930,-13.18472221,-53.2575,379,POINT (-53.2575 -13.18472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
424,PLACAS,PA,A211,-3.8811111,-54.2461111,96,POINT (-54.2461111 -3.8811111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
425,ILHA DO MEL,PR,A847,-25.49444444,-48.32583332,1,POINT (-48.32583332 -25.49444444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
426,CARIRA,SE,A420,-10.39944444,-37.74722221,308,POINT (-37.74722221 -10.39944444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
427,CORONEL PACHECO,MG,A557,-21.54694444,-43.26111111,431,POINT (-43.26111111 -21.54694444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
428,ITUVERAVA,SP,A753,-20.35944444,-47.77499999,600,POINT (-47.77499999 -20.35944444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
429,BAURU,SP,A705,-22.35805555,-49.02888888,666,POINT (-49.02888888 -22.35805555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
430,CORRENTINA,BA,A416,-13.33222221,-44.61722221,549,POINT (-44.61722221 -13.33222221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
431,AIMORES,MG,A534,-19.53277777,-41.09083333,83.74,POINT (-41.09083333 -19.53277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
432,CABACEIRAS,PB,A348,-7.48333333,-36.28638888,436,POINT (-36.28638888 -7.48333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
433,RONDONOPOLIS,MT,A907,-16.45,-54.56666666,284,POINT (-54.56666666 -16.45),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
434,PIRAPORA,MG,A545,-17.25777777,-44.83555555,503,POINT (-44.83555555 -17.25777777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
435,VILA BELA DA SANTISSIMA TRINDADE,MT,A922,-15.06277777,-59.87277777,222,POINT (-59.87277777 -15.06277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
436,LINS,SP,A727,-21.66527777,-49.73416666,450,POINT (-49.73416666 -21.66527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
437,SALINAS,MG,A552,-16.16027777,-42.31027777,495,POINT (-42.31027777 -16.16027777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
438,BRUMADO,BA,A433,-14.18166666,-41.67222221,470,POINT (-41.67222221 -14.18166666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
439,CAROLINA,MA,A205,-7.33722221,-47.45972222,192,POINT (-47.45972222 -7.33722221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
440,CASTANHAL,PA,A202,-1.30083333,-47.93083332,65,POINT (-47.93083332 -1.30083333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
441,BELMONTE,BA,A447,-16.08805555,-39.21555555,88,POINT (-39.21555555 -16.08805555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
442,BOM JESUS DA LAPA,BA,A418,-13.41666666,-43.18416666,440,POINT (-43.18416666 -13.41666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
443,GILBUES,PI,A364,-9.87472221,-45.34638888,425,POINT (-45.34638888 -9.87472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
444,JOSE BONIFACIO,SP,A735,-21.08555555,-49.92055554,405,POINT (-49.92055554 -21.08555555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
445,AREIA,PB,A310,-6.97499999,-35.68499999,574.62,POINT (-35.68499999 -6.97499999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
446,PARANA,TO,A010,-12.615,-47.87194443,280,POINT (-47.87194443 -12.615),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
447,TRAMANDAI,RS,A834,-30.00972222,-50.13527777,1,POINT (-50.13527777 -30.00972222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
448,FORTE DE COPACABANA,RJ,A652,-22.98833333,-43.19027777,42,POINT (-43.19027777 -22.98833333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
449,CALCANHAR,RN,A344,-5.16,-35.45416666,17,POINT (-35.45416666 -5.16),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
450,VICOSA,MG,A510,-20.76277777,-42.86388888,712.2,POINT (-42.86388888 -20.76277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
