,Cidade,UF,Código,Latitude,Longitude,Altitude,geometry,Dis_1,Viz_1,Dis_2,Viz_2,Dis_3,Viz_3,Dis_4,Viz_4,Dis_5,Viz_5,Dis_6,Viz_6,Dis_7,Viz_7,Dis_8,Viz_8,Dis_9,Viz_9,Dis_10,Viz_10
81,MORADA NOVA,CE,A332,-5.13638888,-38.35638888,43.6,POINT (-38.35638888 -5.13638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
82,ALTO PARAISO DE GOIAS,GO,A024,-14.13305554,-47.52305554,1260,POINT (-47.52305554 -14.13305554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
83,ITAPIPOCA,CE,A359,-3.48388888,-39.58833333,102,POINT (-39.58833333 -3.48388888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
84,GOIAS,GO,A014,-15.93916666,-50.14138888,512,POINT (-50.14138888 -15.93916666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
85,PARANATINGA,MT,A915,-14.42138888,-54.03527777,474,POINT (-54.03527777 -14.42138888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
86,CAPELINHA,MG,A541,-17.70527777,-42.38916666,948,POINT (-42.38916666 -17.70527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
87,ITAQUIRAI,MS,A752,-23.44944444,-54.18166666,336,POINT (-54.18166666 -23.44944444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
88,CURITIBANOS,SC,A860,-27.2886111,-50.60416666,860,POINT (-50.60416666 -27.2886111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
89,MOSTARDAS,RS,A878,-31.24777777,-50.90555555,10,POINT (-50.90555555 -31.24777777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
90,DOURADOS,MS,A721,-22.19388888,-54.91138888,469,POINT (-54.91138888 -22.19388888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
91,VOTUPORANGA,SP,A729,-20.40305555,-49.96583333,465,POINT (-49.96583333 -20.40305555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
92,Santa Vitoria do Palmar - Barra do Chui,RS,A899,-33.74166666,-53.37138888,26,POINT (-53.37138888 -33.74166666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
93,SAO GONCALO,PB,A333,-6.75666666,-38.22749999,233.06,POINT (-38.22749999 -6.75666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
94,PARAUNA,GO,A027,-16.94583333,-50.42527777,678,POINT (-50.42527777 -16.94583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
95,MARACAJU,MS,A731,-21.60916666,-55.17777777,400,POINT (-55.17777777 -21.60916666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
96,NOVO REPARTIMENTO,PA,A235,-4.23444444,-49.94277777,106,POINT (-49.94277777 -4.23444444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
97,SINOP,MT,A917,-11.98222221,-55.56583333,371,POINT (-55.56583333 -11.98222221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
98,CARUARU,PE,A341,-8.2361111,-35.98583333,550,POINT (-35.98583333 -8.2361111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
99,CIDADE GAUCHA,PR,A869,-23.37583332,-52.93194443,381,POINT (-52.93194443 -23.37583332),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
100,TAUA,CE,A324,-6.01666666,-40.28166666,415,POINT (-40.28166666 -6.01666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
101,BRAGANCA,PA,A226,-1.04527777,-46.78277777,33,POINT (-46.78277777 -1.04527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
102,MINEIROS,GO,A026,-17.45472222,-52.60111111,862,POINT (-52.60111111 -17.45472222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
103,BENTO GONCALVES,RS,A840,-29.16722221,-51.53472221,640,POINT (-51.53472221 -29.16722221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
104,DIANOPOLIS,TO,A038,-11.59416666,-46.84722221,732,POINT (-46.84722221 -11.59416666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
